id,title,description,link,image_link,additional_image_link,price,availability,condition,QUANTITY
pin001,BLACK STRIPED SUMMER Throw | Shawl Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Organic Natural,"Handcrafted in Ethiopia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

-----
STORY - This light-weight and breathable piece can serve as a summer scarf, light-weight shawl, beach cover-up, or even a bath towel. It is extremely fast-drying and absorbent. As it folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 72”L x 36”W + 1"" Fringe

Material: 100% super soft GOTS Certified Cotton + natural, azo-free dyes

Color: Black

-----
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",https://www.etsy.com/listing/780037970/black-striped-summer-throw-shawl-fall?ref=shop_home_active_67&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/4b076d/2304262367/il_fullxfull.2304262367_abc8.jpg,,45,in stock,new,8
pin002,RED PINSTRIPE THROW | Scarf Shawl Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Towel Bamboo Silk,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

-----
STORY - This luxurious blend of organic bamboo and mulberry silk can serve as a throw, scarf, or towel -- up to you! Not only is it highly absorbent, but also thermal-regulating. It will regulate your body temperature, keeping you or your loved one cozy in the winter, and shielding you from the sun in the summer. As it is light-weight and folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 72”L x 36”W + 2"" Hand-twisted tassel

Material: 90% super soft organic bamboo & 10% luscious mulberry silk + natural, azo-free dyes

Color: Red

-----
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",https://www.etsy.com/listing/780062770/red-pinstripe-throw-scarf-shawl-fall?ref=shop_home_active_94&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/8271fe/2256759776/il_fullxfull.2256759776_lgvs.jpg,https://i.etsystatic.com/22799156/r/il/cbd1ac/2304366821/il_fullxfull.2304366821_3gtf.jpg,65,in stock,new,3
pin003,OATMEAL CROCHET LINEN Throw | Blanket Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Organic Natural,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious linen and cotton piece can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are these pieces insulating yet breathable, but oh-so-soft and luscious, and not even remotely scratchy. Using natural fibers of the finest and most precious quality, these throws will dress your surroundings with classic simplicity while offering you a unique blend of comfort, practicality, and elegance. 

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 87” L x 63” W + 2” Hand-Knotted Fringe

Material: 70% Flax Linen + 30% Cotton

Color: Beige

-----
CARE - Dry clean or hand-wash & hang to dry.",https://www.etsy.com/listing/793641037/oatmeal-crochet-linen-throw-blanket-fall?ref=shop_home_active_37&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/859ea5/2255518560/il_fullxfull.2255518560_jgvr.jpg,https://i.etsystatic.com/22799156/r/il/cdaa1a/2255518802/il_fullxfull.2255518802_1q21.jpg,170,in stock,new,2
pin004,BLACK STRIPED LINEN Throw | Blanket Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Organic Natural,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious organic cotton piece can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end of the process, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are they insulating yet breathable, but oh-so-soft and luscious, hugging you with a warmth that feels like sleeping inside a cloud.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 120 x 170 cm + pom-poms

Material: 100% Organic Cotton

Color: Off-white & Black

-----
CARE - Dry clean only.",https://www.etsy.com/listing/793131495/black-striped-linen-throw-blanket-fall?ref=shop_home_active_2&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/725ff7/2253420460/il_fullxfull.2253420460_ruzx.jpg,,99,in stock,new,7
pin005,DENIM BLUE WAFFLE Throw | Scarf Shawl Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Towel Bamboo,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

-----
STORY - This luxurious blend of organic bamboo and cotton can serve as a throw, scarf, or towel -- up to you! Not only is it highly absorbent, but also thermal-regulating. It will regulate your body temperature, keeping you or your loved one cozy in the winter, and shielding you from the sun in the summer. As it is light-weight and folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 72”L x 36”W + 1” Fringe

Material: 50% super soft organic bamboo & 50% organic cotton + natural, azo-free dyes

Color: Denim

-----
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",https://www.etsy.com/listing/780023490/denim-blue-waffle-throw-scarf-shawl-fall?ref=shop_home_active_18&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/200583/2256602278/il_fullxfull.2256602278_oyn1.jpg,,70,in stock,new,1
pin006,BLACK BLANKET SCARF | Scarf Shawl Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Towel Bamboo Silk,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come.

------
STORY - This luxurious blend of organic bamboo and mulberry silk can serve as a throw, scarf, or towel -- up to you! Not only is it highly absorbent, but also thermal-regulating. It will regulate your body temperature, keeping you or your loved one cozy in the winter, and shielding you from the sun in the summer. As it is light-weight and folds up compactly, it’s perfect for traveling with you on your next adventure.  Learn More about the Handmade Process.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

------
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

------
DETAILS:

Measurement: 72”L x 36”W + 2"" Hand-twisted tassel

Material: 90% super soft organic bamboo & 10% luscious mulberry silk + natural, azo-free dyes

Color: Black

------
CARE - Wash with cold water & dry with low heat, or simply hang to dry. Machine wash on delicate, always in a mesh-bag. No fabric softener, please! Tie the tassels if they come undone, as it is the nature of handmade pieces. No, it’s not going to unravel the piece. Use when worn, mend when torn.",https://www.etsy.com/listing/793939253/black-blanket-scarf-scarf-shawl-fall?ref=shop_home_active_53&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/530495/2256747018/il_fullxfull.2256747018_tne9.jpg,,65,in stock,new,1
pin007,COCOON COTTON NATURAL Throw | Blanket Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Organic Natural,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious blend of cocoon cotton and flax linen can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end of the process, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are they insulating yet breathable, but oh-so-soft and luscious, hugging you with a warmth that feels like sleeping inside a cloud.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 52"" W x 65"" L + 1.5"" Fringe

Material: 50% Organic Cotton, 50% Flax Linen

Color: Midnight Charcoal Gray, Reversible

-----
CARE - Dry clean or hand-wash & hang to dry.",https://www.etsy.com/listing/779729436/cocoon-cotton-natural-throw-blanket-fall?ref=shop_home_feat_2&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/6445ab/2255403108/il_fullxfull.2255403108_5k0a.jpg,"https://i.etsystatic.com/22799156/r/il/8b708d/2303090911/il_fullxfull.2303090911_nkio.jpg, https://i.etsystatic.com/22799156/r/il/db563f/2303091129/il_fullxfull.2303091129_ksex.jpg",119,in stock,new,4
pin008,COCOON COTTON INDIGO Throw | Blanket Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Organic Natural,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious cocoon cotton piece can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end of the process, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are they insulating yet breathable, but oh-so-soft and luscious, hugging you with a warmth that feels like sleeping inside a cloud.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 52"" W x 67"" L + 1.5"" Fringe

Material: 100% Organic Cotton, multi-layered

Color: Midnight Charcoal Gray, Reversible

-----
CARE - Dry clean or hand wash & hang to dry.",https://www.etsy.com/listing/779722532/cocoon-cotton-indigo-throw-blanket-fall?ref=shop_home_active_8&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/3e9d3e/2255360114/il_fullxfull.2255360114_1fix.jpg,"https://i.etsystatic.com/22799156/r/il/e766c8/2255359562/il_fullxfull.2255359562_nbgr.jpg, https://i.etsystatic.com/22799156/r/il/84db76/2255363984/il_fullxfull.2255363984_5g34.jpg",99,in stock,new,4
pin009,COCOON COTTON GRAY Throw | Blanket Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday Organic Natural,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious cocoon cotton piece can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end of the process, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are they insulating yet breathable, but oh-so-soft and luscious, hugging you with a warmth that feels like sleeping inside a cloud.

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 52"" W x 67"" L + 1.5"" Fringe

Material: 100% Organic Cotton, multi-layered

Color: Midnight Charcoal Gray, Reversible

-----
CARE - Dry clean or hand wash & hang to dry.",https://www.etsy.com/listing/779724240/cocoon-cotton-gray-throw-blanket-fall?ref=shop_home_active_10&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/d78320/2302984727/il_fullxfull.2302984727_cgq5.jpg,"https://i.etsystatic.com/22799156/r/il/031226/2255373424/il_fullxfull.2255373424_deg2.jpg, https://i.etsystatic.com/22799156/r/il/9048cb/2302976793/il_fullxfull.2302976793_o87a.jpg",99,in stock,new,3
pin010,OATMEAL LAMBSWOOL & LINEN Herringbone Throw | Blanket Fall Room House Outdoor Decor Gift for Her Housewarming Nursery Baby Christmas Holiday,"Handcrafted in Tunisia

The quality and artistry of our pieces lend an elegant, timeless feel to each one, instantly creating an heirloom piece that will be treasured by generations to come. From our timeless, handmade pieces to life-changing opportunities we create, we’re cultivating a movement that is made to last.

-----
STORY - This luxurious blend of ultra-fine lambswool and linen can serve as a throw or blanket, keeping you or your loved one cozy in the winter, perfect for chilly nights. Handcrafted via a laborious and time-intensive process, from warping the looms to twisting the fringes or tassels at the very end, these pieces require expertise, a trained eye, and unparalleled craftsmanship. One throw can grace 20 different women’s hands throughout the creation process. Not only are these pieces insulating yet breathable, but oh-so-soft and luscious, and not even remotely scratchy. Using natural fibers of the finest and most precious quality, these throws will dress your surroundings with classic simplicity while offering you a unique blend of comfort, practicality, and elegance. 

The pieces we design and sell seamlessly fuse the quality and craftsmanship of traditional hand-crafting techniques with modern styles and functionality. From our meticulously monitored work environments for artisans to environmentally-responsible processes and materials, we’re working to give your family the gift of carefully and responsibly made heirlooms.

-----
IMPACT - By working directly with our women-led cooperatives and like-minded grassroots organizations, we cut out the cost of working through a middleman. Our prices reflect the quality and craftsmanship required to create luxury products, while directly benefiting the communities creating them.

Women are monumentally impacted by systemic poverty. Consider (just a few of) the facts: only ⅓ can read or write, over one million per year are captured by human trafficking, and in low- and middle-income countries, giving birth after a forced child marriage is a leading cause of death. That’s why every purchase empowers women to overcome socio-economic barriers and live safer, healthier lives by developing their skills through vocational training and helping to develop the resources for a sustainable future.

-----
DETAILS:

Measurement: 67” L x 52” W + 1” Hand-Knotted Tassels

Material: 50% Ultra-Fine Lambswool + 50% Flax Linen

Color: Denim

-----
CARE - Dry clean or hand-wash & hang to dry.",https://www.etsy.com/listing/793639035/oatmeal-lambswool-linen-herringbone?ref=shop_home_feat_1&pro=1&frs=1,https://i.etsystatic.com/22799156/r/il/f289d1/2255512198/il_fullxfull.2255512198_3t52.jpg,https://i.etsystatic.com/22799156/r/il/d88fbc/2303116199/il_fullxfull.2303116199_5ify.jpg,128,in stock,new,2
